timestamp,cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,target,latency_ms,throughput,cost,utilization
2024-01-01 00:00:00,43.71,95.56,379.4,638.79,Azure,us-east,t2.micro,1,1.0,0.0116,scale_up,228.02,1380.99,0.0174,69.64
2024-01-01 00:05:00,15.23,87.96,320.5,737.27,Azure,us-west,t2.micro,1,1.0,0.0116,scale_up,243.71,1059.03,0.0174,51.59
2024-01-01 00:20:00,27.97,56.28,316.59,141.81,Azure,us-east,B1s,1,1.0,0.012,no_action,246.37,861.28,0.018,42.12
2024-01-01 00:35:00,38.05,56.81,296.02,266.37,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,259.95,957.17,0.0174,47.43
2024-01-01 00:40:00,17.96,27.64,70.35,392.8,Azure,us-east,B1s,1,1.0,0.012,scale_down,262.41,420.01,0.018,22.8
2024-01-01 00:45:00,84.59,42.11,176.42,588.43,Azure,asia-south,B1s,1,1.0,0.012,no_action,239.89,1247.75,0.018,63.35
2024-01-01 00:55:00,79.41,16.66,211.31,204.28,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,255.28,1009.48,0.0174,48.03
2024-01-01 01:50:00,23.04,54.05,493.54,317.85,Azure,us-east,t2.micro,1,1.0,0.0116,no_action,272.88,808.5,0.0174,38.55
2024-01-01 01:55:00,31.39,75.54,215.5,669.08,Azure,us-east,n1-standard-1,1,3.75,0.0475,no_action,252.4,1178.82,0.1366,53.47
2024-01-01 02:10:00,72.18,44.81,471.53,223.77,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,233.67,1153.8,0.0174,58.5
2024-01-01 02:20:00,57.67,31.77,91.9,907.49,Azure,us-west,B1s,1,1.0,0.012,no_action,257.88,933.49,0.018,44.72
2024-01-01 02:25:00,40.51,41.43,376.68,907.4,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,261.53,836.72,0.0174,40.97
2024-01-01 02:30:00,67.78,17.57,122.73,908.7,Azure,asia-south,t2.micro,1,1.0,0.0116,no_action,260.26,817.78,0.0174,42.67
2024-01-01 02:35:00,10.46,24.47,296.93,722.71,Azure,asia-south,t2.micro,1,1.0,0.0116,scale_down,270.62,382.13,0.0174,17.46
2024-01-01 02:50:00,97.57,45.38,451.42,668.02,Azure,us-east,B1s,1,1.0,0.012,scale_up,228.66,1502.18,0.018,71.47
2024-01-01 03:10:00,25.25,60.11,471.27,726.43,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,248.48,861.29,0.1366,42.68
2024-01-01 03:35:00,62.05,13.23,259.52,588.38,Azure,us-west,B1s,1,1.0,0.012,no_action,269.22,672.16,0.018,37.64
2024-01-01 03:40:00,12.75,13.36,420.17,424.17,Azure,us-west,B1s,1,1.0,0.012,scale_down,287.59,207.21,0.018,13.05
2024-01-01 04:05:00,69.42,35.19,479.69,764.11,Azure,us-west,B1s,1,1.0,0.012,no_action,268.92,1097.72,0.018,52.3
2024-01-01 04:15:00,52.68,18.81,271.23,526.12,Azure,us-west,B1s,1,1.0,0.012,no_action,261.73,652.51,0.018,35.74
2024-01-01 04:25:00,55.28,87.08,346.41,246.64,Azure,asia-south,t2.micro,1,1.0,0.0116,scale_up,230.81,1393.59,0.0174,71.18
2024-01-01 04:30:00,12.39,62.72,473.1,617.93,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,278.31,689.21,0.1366,37.55
2024-01-01 04:35:00,51.24,59.11,473.66,447.49,Azure,us-west,t2.micro,1,1.0,0.0116,no_action,247.63,1072.37,0.0174,55.17
2024-01-01 04:50:00,35.38,25.97,387.78,826.15,Azure,us-west,B1s,1,1.0,0.012,no_action,269.12,619.37,0.018,30.68
2024-01-01 05:00:00,77.58,77.91,96.41,912.3,Azure,us-west,B1s,1,1.0,0.012,no_action,235.31,1555.95,0.018,77.75
