timestamp,cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,target,latency_ms,throughput,cost,utilization
2024-01-01 00:25:00,15.85,95.4,484.53,827.56,GCP,us-east,t2.micro,1,1.0,0.0116,scale_up,238.37,1097.92,0.0174,55.62
2024-01-01 00:50:00,16.71,98.82,397.51,278.84,GCP,us-east,n1-standard-1,1,3.75,0.0475,scale_up,252.54,1201.86,0.1366,57.77
2024-01-01 01:05:00,89.85,52.5,103.82,741.92,GCP,us-west,t2.micro,1,1.0,0.0116,scale_up,232.44,1500.4,0.0174,71.17
2024-01-01 01:20:00,30.59,16.93,180.39,245.1,GCP,us-west,B1s,1,1.0,0.012,no_action,285.39,491.64,0.018,23.76
2024-01-01 01:25:00,82.33,26.79,451.65,585.41,GCP,us-east,B1s,1,1.0,0.012,no_action,238.42,1074.82,0.018,54.56
2024-01-01 01:30:00,30.51,48.44,418.11,874.66,GCP,asia-south,t2.micro,1,1.0,0.0116,no_action,260.58,777.77,0.0174,39.48
2024-01-01 01:35:00,47.57,29.99,103.94,403.85,GCP,us-east,B1s,1,1.0,0.012,no_action,259.61,795.8,0.018,38.78
2024-01-01 01:40:00,56.69,73.27,213.63,974.6,GCP,asia-south,B1s,1,1.0,0.012,no_action,215.83,1298.27,0.018,64.98
2024-01-01 01:45:00,35.64,13.32,324.3,552.41,GCP,asia-south,t2.micro,1,1.0,0.0116,no_action,273.6,504.68,0.0174,24.48
2024-01-01 02:05:00,70.98,11.49,280.44,303.85,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,248.14,848.38,0.1366,41.23
2024-01-01 02:15:00,93.22,88.96,166.07,693.99,GCP,us-west,t2.micro,1,1.0,0.0116,scale_up,211.18,1887.16,0.0174,91.09
2024-01-01 02:45:00,69.19,61.15,92.15,430.94,GCP,asia-south,B1s,1,1.0,0.012,no_action,225.93,1262.61,0.018,65.17
2024-01-01 02:55:00,61.92,54.33,137.86,750.21,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,231.17,1186.62,0.0174,58.12
2024-01-01 03:05:00,96.73,86.77,182.5,446.59,GCP,us-east,t2.micro,1,1.0,0.0116,scale_up,203.78,1877.82,0.0174,91.75
2024-01-01 03:20:00,72.73,73.22,211.77,364.23,GCP,asia-south,n1-standard-1,1,3.75,0.0475,no_action,232.18,1485.19,0.1366,72.97
2024-01-01 03:45:00,79.3,29.42,330.3,176.81,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,246.1,1054.62,0.0174,54.36
2024-01-01 04:20:00,45.87,65.43,335.79,140.77,GCP,asia-south,t2.micro,1,1.0,0.0116,no_action,258.76,1041.21,0.0174,55.65
2024-01-01 04:40:00,16.41,38.71,430.19,120.94,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,266.55,593.68,0.0174,27.56
2024-01-01 04:45:00,20.63,72.71,333.02,889.72,GCP,us-east,B1s,1,1.0,0.012,no_action,261.46,964.88,0.018,46.67
2024-01-01 05:30:00,16.55,83.97,367.81,173.21,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,235.26,934.83,0.0174,50.26
2024-01-01 06:15:00,97.7,98.76,364.17,582.49,GCP,us-west,B1s,1,1.0,0.012,scale_up,211.27,1935.75,0.018,98.23
2024-01-01 06:35:00,47.33,34.61,75.37,878.25,GCP,us-east,B1s,1,1.0,0.012,no_action,259.08,821.75,0.018,40.97
2024-01-01 07:00:00,73.37,29.17,111.37,113.09,GCP,us-east,B1s,1,1.0,0.012,no_action,259.31,937.46,0.018,51.27
2024-01-01 07:10:00,45.69,65.99,438.06,954.57,GCP,us-east,B1s,1,1.0,0.012,no_action,227.13,1114.02,0.018,55.84
2024-01-01 07:25:00,26.37,41.11,453.55,526.57,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,256.4,700.0,0.0174,33.74
2024-01-01 07:35:00,28.57,42.78,276.54,721.36,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,257.33,724.2,0.1366,35.67
2024-01-01 07:40:00,88.62,92.88,77.49,349.19,GCP,us-west,B1s,1,1.0,0.012,scale_up,215.39,1852.88,0.018,90.75
2024-01-01 07:55:00,56.05,57.89,98.23,502.67,GCP,asia-south,n1-standard-1,1,3.75,0.0475,no_action,226.97,1149.57,0.1366,56.97
2024-01-01 08:15:00,35.54,42.68,340.66,613.7,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,246.9,810.35,0.0174,39.11
2024-01-01 08:40:00,79.25,26.83,195.66,482.89,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,230.68,1063.2,0.0174,53.04
2024-01-01 08:45:00,20.34,64.96,179.88,623.11,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,256.69,792.45,0.0174,42.65
2024-01-01 08:50:00,57.93,14.66,201.47,220.97,GCP,us-east,n1-standard-1,1,3.75,0.0475,no_action,273.77,697.06,0.1366,36.3
2024-01-01 08:55:00,32.92,71.34,392.1,636.07,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,223.15,1002.76,0.1366,52.13
2024-01-01 09:00:00,41.4,93.66,423.78,968.52,GCP,asia-south,B1s,1,1.0,0.012,scale_up,236.18,1320.4,0.018,67.53
2024-01-01 09:10:00,22.58,81.57,140.73,247.29,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,251.87,1020.45,0.0174,52.07
2024-01-01 09:15:00,69.87,57.08,211.47,889.48,GCP,us-east,t2.micro,1,1.0,0.0116,no_action,248.54,1249.1,0.0174,63.48
2024-01-01 09:35:00,65.81,58.01,452.25,809.74,GCP,asia-south,B1s,1,1.0,0.012,no_action,233.5,1195.71,0.018,61.91
2024-01-01 10:20:00,63.21,45.91,74.64,401.68,GCP,us-west,t2.micro,1,1.0,0.0116,no_action,235.32,1008.46,0.0174,54.56
2024-01-01 10:40:00,17.68,99.72,275.99,635.85,GCP,us-west,n1-standard-1,1,3.75,0.0475,scale_up,241.44,1172.79,0.1366,58.7
