cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,latency_ms,throughput,cost,utilization,target
69.87,57.08,211.47,889.48,2,1,2,1,1.0,0.0116,248.54,1249.1,0.0174,63.48,0
41.05,14.93,141.91,476.83,2,0,1,1,3.75,0.0475,264.86,585.86,0.1366,27.99,0
63.32,53.42,330.16,109.04,1,1,2,1,1.0,0.0116,241.23,1097.19,0.0174,58.37,0
30.9,90.96,222.75,589.2,0,0,1,1,3.75,0.0475,241.43,1257.14,0.1366,60.93,2
96.71,56.71,354.89,380.68,2,0,1,1,3.75,0.0475,230.44,1570.11,0.1366,76.71,2
51.58,95.26,119.01,627.61,1,1,0,1,1.0,0.012,251.04,1474.86,0.018,73.42,2
65.75,51.71,220.9,877.0,2,0,2,1,1.0,0.0116,216.28,1289.15,0.0174,58.73,0
25.66,42.51,336.79,163.63,2,2,1,1,3.75,0.0475,271.37,573.12,0.1366,34.09,0
45.57,26.36,120.57,844.57,1,2,2,1,1.0,0.0116,263.1,692.83,0.0174,35.97,0
66.02,80.32,310.23,232.27,0,2,1,1,3.75,0.0475,231.81,1520.41,0.1366,73.17,0
15.85,95.4,484.53,827.56,2,1,2,1,1.0,0.0116,238.37,1097.92,0.0174,55.62,2
81.57,34.37,247.54,170.61,0,1,2,1,1.0,0.0116,247.08,1202.69,0.0174,57.97,0
49.52,43.92,258.21,371.24,1,0,0,1,1.0,0.012,253.46,1018.22,0.018,46.72,0
81.0,31.03,337.64,312.11,1,0,0,1,1.0,0.012,250.7,1139.51,0.018,56.02,0
33.18,15.36,321.71,717.93,0,2,2,1,1.0,0.0116,273.04,440.84,0.0174,24.27,0
77.81,79.2,346.34,789.5,0,0,0,1,1.0,0.012,225.01,1623.61,0.018,78.5,0
35.36,26.59,67.71,119.66,2,0,1,1,3.75,0.0475,264.24,637.47,0.1366,30.98,0
25.25,60.11,471.27,726.43,1,0,1,1,3.75,0.0475,248.48,861.29,0.1366,42.68,0
79.08,47.49,419.98,865.31,2,2,1,1,3.75,0.0475,242.94,1208.76,0.1366,63.28,0
99.95,14.34,489.73,466.22,1,0,0,1,1.0,0.012,246.07,1164.0,0.018,57.15,2
41.26,90.99,59.82,697.41,1,0,1,1,3.75,0.0475,234.54,1348.3,0.1366,66.12,2
49.96,66.36,270.0,461.6,2,0,1,1,3.75,0.0475,252.85,1261.12,0.1366,58.16,0
43.1,47.27,422.39,760.25,0,1,2,1,1.0,0.0116,249.05,774.15,0.0174,45.19,0
73.03,78.3,97.61,555.53,2,2,2,1,1.0,0.0116,230.79,1514.27,0.0174,75.66,0
67.37,82.16,259.87,425.5,2,0,0,1,1.0,0.012,219.62,1519.27,0.018,74.77,0
21.51,78.9,50.01,474.91,1,1,1,1,3.75,0.0475,243.04,1005.81,0.1366,50.21,0
65.07,22.55,181.47,429.73,0,0,0,1,1.0,0.012,270.85,864.91,0.018,43.81,0
48.38,65.39,86.71,179.01,1,2,1,1,3.75,0.0475,243.83,1073.02,0.1366,56.89,0
93.62,44.86,79.77,117.24,2,1,2,1,1.0,0.0116,231.74,1449.59,0.0174,69.24,2
16.91,10.38,351.7,677.64,2,0,0,1,1.0,0.012,283.33,142.74,0.018,13.64,1
14.46,33.14,259.27,304.28,1,0,1,1,3.75,0.0475,279.22,484.78,0.1366,23.8,0
72.47,56.14,187.39,291.38,1,0,2,1,1.0,0.0116,240.83,1295.08,0.0174,64.31,0
88.01,90.46,463.91,185.36,1,1,0,1,1.0,0.012,227.4,1799.96,0.018,89.23,2
49.33,63.42,82.89,660.11,0,0,0,1,1.0,0.012,247.88,1128.46,0.018,56.38,0
20.8,38.09,411.08,875.28,2,1,0,1,1.0,0.012,282.48,526.01,0.018,29.45,0
50.99,62.39,210.55,247.84,0,2,1,1,3.75,0.0475,256.19,1134.53,0.1366,56.69,0
67.67,29.44,328.81,685.18,0,2,2,1,1.0,0.0116,249.31,1045.64,0.0174,48.55,0
78.73,57.11,152.05,699.87,0,1,0,1,1.0,0.012,230.96,1318.15,0.018,67.92,0
34.23,43.96,59.03,389.87,0,1,2,1,1.0,0.0116,254.44,727.82,0.0174,39.09,0
38.05,56.81,296.02,266.37,1,0,2,1,1.0,0.0116,259.95,957.17,0.0174,47.43,0
76.11,12.16,313.17,947.33,2,1,2,1,1.0,0.0116,254.73,817.74,0.0174,44.13,0
10.81,42.13,466.79,305.81,1,0,2,1,1.0,0.0116,261.03,559.63,0.0174,26.47,0
80.5,33.93,495.65,123.19,1,2,0,1,1.0,0.012,259.28,1197.83,0.018,57.22,0
12.31,40.71,221.09,458.94,2,2,2,1,1.0,0.0116,283.72,652.19,0.0174,26.51,0
12.58,62.49,55.09,808.63,2,1,2,1,1.0,0.0116,261.57,748.82,0.0174,37.54,0
86.45,14.05,380.37,407.19,2,2,2,1,1.0,0.0116,257.54,1003.05,0.0174,50.25,2
67.95,57.73,68.88,971.64,1,1,0,1,1.0,0.012,230.72,1303.19,0.018,62.84,0
69.19,61.15,92.15,430.94,2,0,0,1,1.0,0.012,225.93,1262.61,0.018,65.17,0
65.65,80.33,366.47,851.01,0,0,1,1,3.75,0.0475,222.4,1497.63,0.1366,72.99,0
20.78,90.15,317.12,711.19,0,0,1,1,3.75,0.0475,244.46,1183.3,0.1366,55.47,2
30.97,12.2,441.54,119.14,1,1,1,1,3.75,0.0475,279.24,484.97,0.1366,21.59,0
88.62,92.88,77.49,349.19,2,2,0,1,1.0,0.012,215.39,1852.88,0.018,90.75,2
33.85,11.89,86.98,971.07,1,1,2,1,1.0,0.0116,287.09,419.56,0.0174,22.87,0
19.06,31.59,113.89,413.15,2,2,2,1,1.0,0.0116,290.83,490.38,0.0174,25.32,0
41.94,14.68,64.28,481.0,1,0,1,1,3.75,0.0475,273.64,528.29,0.1366,28.31,0
20.12,14.44,165.87,222.1,1,2,0,1,1.0,0.012,275.86,273.97,0.018,17.28,1
54.31,27.31,258.77,321.24,2,1,2,1,1.0,0.0116,256.7,847.53,0.0174,40.81,0
61.38,39.92,191.99,195.96,1,2,1,1,3.75,0.0475,241.54,1000.01,0.1366,50.65,0
37.22,87.28,435.75,788.19,2,1,0,1,1.0,0.012,242.2,1203.72,0.018,62.25,2
44.9,82.32,455.8,283.13,0,2,2,1,1.0,0.0116,244.87,1159.86,0.0174,63.61,0
39.78,15.72,189.94,392.66,0,0,1,1,3.75,0.0475,280.38,622.81,0.1366,27.75,0
58.99,31.04,337.0,838.06,1,2,1,1,3.75,0.0475,254.96,870.84,0.1366,45.02,0
80.16,41.51,76.03,972.19,2,1,1,1,3.75,0.0475,253.37,1188.16,0.1366,60.83,0
94.87,64.93,425.74,739.32,0,1,2,1,1.0,0.0116,223.34,1571.36,0.0174,79.9,2
20.08,45.81,486.26,878.96,1,1,2,1,1.0,0.0116,261.29,696.67,0.0174,32.95,0
77.58,77.91,96.41,912.3,1,2,0,1,1.0,0.012,235.31,1555.95,0.018,77.75,0
27.91,47.65,387.92,191.24,0,2,1,1,3.75,0.0475,252.58,707.74,0.1366,37.78,0
62.7,58.72,88.71,151.32,2,1,0,1,1.0,0.012,241.25,1169.0,0.018,60.71,0
28.48,53.47,170.84,358.72,2,2,0,1,1.0,0.012,261.1,822.97,0.018,40.98,0
51.24,59.11,473.66,447.49,1,2,2,1,1.0,0.0116,247.63,1072.37,0.0174,55.17,0
34.03,89.08,408.84,692.61,2,0,0,1,1.0,0.012,246.65,1256.46,0.018,61.55,2
44.97,50.38,156.89,435.93,1,2,0,1,1.0,0.012,268.75,1003.99,0.018,47.67,0
11.63,88.49,469.45,608.62,1,1,0,1,1.0,0.012,254.75,1012.39,0.018,50.06,2
